first_name,last_name
Alan,B. Berkowitz
David,Shannon
George,Romey
Patricia,Mennen
Jianzhong,Wu
Gavan,McCormack
Spencer,Riley
Patrick,Poivre d'Arvor
Zhengnong,Xia
Malcolm,Boyd
ʻAlī,Qāsimī
Karim,Fereidooni
Ken,Booth
Alison,Clarke-Stewart
Erik,Westra
Diversos,autors
Virginia,Loh-Hagan
Dorothea,Jensen
Robert,Auerbach
Charlie,Gentile
Reilly,Unknown
George,Alec Effinger
Oxford,Designers and Illustrators Staff
Charles,Peterson Sheppard
Martina,Gastl
Yū,Yoshii
David,Alfaro
Mwangala,Lethbridge
Dante,Verne
Carole,Gold
Ivo,Colozzi
Robert,Marks
Lucy,Ana Catty
Ruth,Ware
Grands,Chefs
Z.,I. S. Pérez
Cathy,McDavid
Owen,Frazer
Cooper,Effron
Heather,Kirk-Davidoff
Shengchi,Cai
Mark,Chatterton
Yve,Alain Bois
Denise,de Rome
Steve,Jackson
Margi,McAllister
Paul,McNamara
George,Bloomer
Joe,D. Schubert
Harold,Bloom
Eduardo,Punset
Surinder,Kumar
Eveno,Unknown
Liam,O'Meara
Nancy,Lande
Modesto,de Castro
André,Ravier
Raymond,Hurt
Lori,A. Smolin
Ḥasan,Bindārī
Stephen,Vizinczey
Arthur,Colton
Roger,McGough
Rupindara,Kaura
Masayuki,Manabe
Marie,Severin
M.R.,Forbes
Sheila,Kell
iClicker,Unknown
Vitaly,Gordin
Valeria,Deplano
Marilyn,Sobwick
Barry,Ablett
Fay,Keenan
Robert,Bernasconi
Philippe,Delelis
Mr,Ken Donaldson
James,Nero
Responsive,Education Solutions Staff
Nicholas,Wade Wynn
Jana,Ko?í
Jodé,Millman
Ericka,D. Jackson
T.,H. Elkins
R.,Austin Freeman
Dorota,Buczkowska
Colette,Unknown
April,FitzLyon
Ina,Boudier-Bakker
Salvador,Romero Toro
Maxim,Gorky
H.,G. Wells
Dominik,Jung
Carl,Dijkstra
Bing,Futch
Karl,Reinhardt
Joseph,Cairn Simpson
Lowell,Lannert
John,Kenyon
Anjan,V. Thakor
Walter ,W. Heller
Harry,Harrison
Carol,Jago
John,D. Bransford
Shaun, Walker
Robert,Bernstein
Richard,S. Johnson
Jay,Carnine
H.,Barnett
Thomas,Otway
Gerda,I. M. Spronck
Karl-Ludwig,Selig
Ann,Poyas
Hans,Reuter
Carmen,Ollé
Hongjun,Li
Abel,Barros Baptista
Michelle,Misra
Katrina,Kahler
Rajani,LaRocca
Ludwig,Rüger
al-Shāyib,Taklā
Spudtc,Publishing Ltd
Maria,Howell
Mandula,Ráhel
Dick,Hebdige
Wolf,Blitzer
Charles,Follen Folson
Wayne,Patterson
Andrea,Brait
Giorgi,GIORGI TUMASOV
Louis-Jacques,Filion
Renate,Mayntz
Cath,Senker
C.,Stanton
Louise,Hegarty
Debbie,Abrahams
Terry,Hayes
Ola,Elizabeth Winslow
Alexander,Cruickshank
Ann,Spangler
Robert,Crowther
Inc.,Barbour & Company
Martine,Ashe
Virgil,Renzulli
William,Antony S. Sarjeant
Yōson,Kurahashi
Anne,Bragance
Terry,Barber
George,C. Kagadis
Sascha,Bosslet
Hannah,Richell
Jaime,Avilés
Carolyn,Haywood
Chen ,Yanfu (Nutritionist)
Eric,Talbot
Joe,Berardi
Victor,Schwartz
Zhongguo,fa xue hui zhi shi chan quan fa yan jiu hui . Nian hui
Montana,Montana
Gold,Abla Arts Publishing
Olivia,Roman
Guestbook,Goodness
Chiara,Dahms
Piti,Disyatat
Robert,Gwilliam
Italo,Sciuto
Jeffrey,Hudson
يمني،,أحمد صالح
John,O'Hart
Hilbert,van Nydeck Schenck
Gary,Lovisi
Robert,L. Heilbroner
Christopher,Brown
Kristen,Neuschel
S.,A. Kapadia
Tricia,Scribner
Gary,O'malley
Mary,Anne Anderson
Zia-ud,Din Barni
William,J. Callahan
Diana,Noonan
Mopelola,Omoegun
Arthur,Kleinman
Jacob,Harris Patton
Pere,Riera
Su-am,Kim
Kathryn,Tomlinson
Florence,Fenwick Miller
Thomas,Hodgson
Earl,A. Coddington
S.,Falkow
Jan,Loomis
August,Strindberg
Nichigai,Asoshiētsu
Charles,Welsh
Guy,Miron
Kil-sŏng,Ch'oe
Jianming,Wang
Anna,Award
Jordie,Bellaire
Dale,Krane
Chang,Ho
Constantin,Ardeleanu
Steve,Barber
Jason,Piekser
Chu-Ren,Huang
Cécile,Legros
Hakim,Publishing
W.,-H Steeb
Ingri,Parin D'Aulaire
Dob,House
Shulamit,E. Kustanowitz
Henry,Wood
Irb,Media
valentina,sanchez
Annette,Hennig
Benjamin,L. Hill
Andreu,Buenafuente Moreno
Elizabeth,Dix
Bernard,Law Montgomery
Zuleyha,Unlu
Yano ,Narufumi
José,De Onís
Ignatz,Schels
Tony,Greenfield
Sandra,Byrd
Fritz,Allhoff
William,Nana Wiafe II
P.,Sheridan
Warren,Ellis
Clyde,Binfield
Alexander,Liberman
Robert,Kirkpatrick
Indra,Abeysekera
John,Agnew
Mary,Wollstonecraft
Lisa,Brenninkmeyer
William,Pitt Palmer
K.,Wolfgang Kallus
Massoumeh,Torfeh
Diane,Oliver
Alphonse,Daudet
Anika,Tugarev
Euzebiusz,Jamrozik
Nadiya,Vasilkova
Teesson,Ink
Sebastian,Listeiner
Anna,Moshak
ReadRight,Unknown
Josef,Kasl
V.,V. I︠A︡kovlev
Nils,Christians
Martins,JUDGE
Michael,Cox
Pilar,Arnaiz  Sánchez
Oliver,Sundqvist
Roman,de Alba
Peter,Hupfer
Aldous,Huxley
Larry,Dane Brimner
Emmy,Wellesz
Ian,Graham
Stationery,Office
Dorothy,Richardson
James,L. Hoffman
Angel,Garcia
Graham,Marshall
J.W.,Saunders
Maggie,Poor
Williams ,Dave
Scotland,Unknown
Yun,Ding
Luis,G Pedraja
Prudence,Bice
Ann-Déborah,Lévy-Bertherat
Kimberla,Lawson Roby
Tim,Mohr
Mybook,Unknown
Clark,C. Presson
Michael,van Manen
Tom,Mannewitz
Neil,E. Harl
Shelley,Furtado-Linton
Andrea,A. Wirum
Carroll,Gillis
Simon,Trafford
Sarita,D. Jackson
geburtstag,August Mariama
Karin,Hellandsjø
Kimelene,Carr
Sylwia,Tomaszczyk Arantes
Suzanne,Baker
Wo95/2547/1,Unknown
Emily,R. Wilson
Mary,Elaine Jacob
Terri,Farley
Dieter,Meyer
Carl,von Clausewitz
Otto,Kostenzer
Giovanni,Battista de' Zanchi
Charles,T. Horngren
Judith,M. Hughes
The,Stationery Office
Public,Record Office
Truett,Unknown
K.,C. Kelley
Beaton,Unknown
André,Marx
Gert,Böhme
Marie,Shedlock
Diana,Anderson
Joh,De La Mothe
Congresso,Internacional sobre o Rio Douro (2nd 1996 Vila Nova de Gaia  Portugal).
Naohiko,Jinno
Ion,Deaconescu
Mieczyslaw,Pokorski
Jieun,Kiaer
Judith,A. K. Howard
Jeannie,Waudby
Publications,International Ltd. Staff
Mitchell,Rolls
Lesley,Stirling
Pexfri,Publishing
Abdo,Ezzahir
Sergio,García Ramírez
Manuel,Serrat Crespo
Li,zhong bo
Leone,Piccioni
Julie,Murray
Ronnie,Roberts
Timo,Ortiz
Renato,Baumann Neves
Pat,Danna
Arin,Ahmed
HANSEN,MOWEN
Ángela,López-Gracia 
N.,S. Timofeev
鳥山,明 [Akira Toriyama]
M.,Clarkshire
Virginia,Hatlen
Tom,C. Daniels
Richard,Bach
Frank,Julian
John,Benson
Henry,Ford
Sally,Rippin
Chris,Harold Groneman
Kelly,Woestman
Josef,Aff
Richard,Woodley
Scott,Walter
David,Peck
Richard,Godwin
Tim,Marrs
Aleatha,Romig
Stina,Unknown
Andrew,P. Davis
Mark,Seifter
Kenneth,Saladin
Mohamed,Hamed N. Taha
Joseph,L. Calles
Angela,E. Hubler
Michel,Sabourdy
Pencil,Junky
Christopher,Lamb
Lady,Angela Cappelletti
Sharon,T. Pochron
Brooke,Tatum
Robert,Sureau
Wallice,Bellair
W.,Rief
آىتى،,نصرت الله،
Algernon,George Arnold Durand
G.,K. Horton
Rem,Koolhaas
April,Henry
John,Barrett
John,K. Reid
Skippy,Unknown
Masashi,Kishimoto
Alexander,Chernev
Benedict,Giamo
Coloring,Book
Thomas,Medwin
William,Nicolson
Alice,Chetwynd Ley
Nanami,Shiono
Conrad,Sabourin
Michael,A. Curth
Derek,Cohen
Minnie,Darke
Ronald,Rahal
Juliet,Beatrice Lind
Yue,han xun
Vijay,H. Makwana
Yongming,Luo
Sarah,Salih
Eftichia,Teperoglou
Gui,Bai
Kathryn,Lang
K.,Hima Bindu
Lingua,LINGUA CLASSICS
Ty,Debauchee
Musa,Publishing
Xiaocheng,Cheng
John,Kendrick Bangs
Fatila,Color!
MARIE-JEANNE,CURA
Kurt,Schürger
State,and local perspectives on federal informatio Representatives
Min-woo,Hyung
Nick,Ryan
Paul,Christophersen
Oren,Arnold
SPSS,Inc.
Barbara,Chiappetta
Babette,E. Bensoussan
Jon,Davison
Wayne,Dundee
Ernest,J. Eitel
John,Harte
William,Vance
Christopher,Crawford
T.M.,Craft
Ma,Jose Comellas Carbo
Asli,Davaz-Mardin
Li,Zhao
Great,Britain
Henry,Guedy
Anita,Theorell
Alexander,Gilchrist
Li,You
Arthur,Quiller-Couch
Jessica,Houdret
Jane,Ashford
Ukami,Unknown
Katharina,Reschke
Amber,Richards
Tarynne,Ross
Enrique,Hurtado López
Angela,Solis
S.,Pazienza
Poorman,Plinker
Karen,Main
Linguas,LINGUAS CLASSICS
Shima,Shanti
lolita,kf
Jacques,Loeb
Haley,Williams
Narciso,García Nieto
Erkki,J. Lokka
National,Institute Safety and Health
Tina,Berkovits
Ian,Moore
Henry,James
Margaret,Mead
Dorothy,Elkins
Heather,Brown
Editors,of Phaidon Press
V.,E. Vladykin
Hans,H. Ørberg
H.,Allen
Nick,Lachey
Ali,Farrell
Ben,Hubbard
Czesław,Miłosz
Merrill,Horton
Henryk,Lulewicz
Pico,Iyer
United,States. Congress. House. Committee on Government Reform and Oversight. Subcommittee on the District of Columbia.
Jean,Guiffan
Matt,Mullins
Stefano,Floris
Kristin,Cast
Stephanie,Winzer
Ray,S. Cline
Víctor,Manuel García de Isusi
Jane,Adult Press
Webefo,African Coloring
Stephen,W. S. Mckeever
Maxine,Hobson
Muslim,Ibrahim
Muka ,Edi  Qendro  Gezim
Henry,Merel
David,F Batten
Nadine,Charlsen
Hari,Banerjee
Chetan,Bhagat
London,School London School of Management Studies
Todd,R. Berger
Juan,Carlos Estrada Alava
Leena,Iisakkila
Michael,Dahl
Browne ,Thomas
Andrew,Hawker
Christine,Peterson
John,Court
Linda,Rae Coughlin
Brian,Koppelman
T.,Parker
Cole,Group
Bernard,Haldane Associates
Susan,Starkings
Robert,Houser
A.,De Wit
George,Holod
Paul,Frère
Shams-i,Siraj 'Afif
Jack,Kuhatschek
Ichirō,Fukumoto
Samuel,Ospina Marín
Cynthia,Whissell
Debra,L. Simms
Yolanda,Pallín
Brian,Henry
Toshiko,Watanabe
Eve,Waltermaurer
J.,David Powell
Marco,Pérez-Cisneros
Lesley,Stanley
Kristina,Helgesson Kjellin
Jon,Chris
A.,A Joshua
Jon,Cronshaw
Josephus,Aloysius Assemani
Steve,Berenson
Chanda,Riddick
Moreno,Orazi
Kathryn,Maximov
James,Legge
Tim,Crandle
Sanford,Seltzer
Hilken,Elsen
Brian,D. Blackwood
A.,D. Kerimov
Abd,Tuimeh
Jana,Frohmuth
Walīd,Ṭāhir
Teofil,Piotrkiewicz
Arthur,Conan Doyle
Karl-Heinz,Scharf
Dan,Trietsch
David,Spohn
Danny,Wedding
Edward,Humes
Holger,Breit
John,C. Coleman
Eleanor,Berman
Book,World
Attner,Unknown
Ingersoll,Lockwood
Carolyn,Lee
Graham,Harding
Clément,Rosset
Katharina,Habermann
Thomson,West
Michael,Topham
Cait,London
Andrew,Fuller
Angela,Romahn
Oriza,Hirata
Silke,Kröger
Alexander,von Humboldt
Larry,K. Michaelsen
Coloring,Books
Estherlina,Feliciano
Ján,Labáth
Joseph,J. Apuzzio
Liam,Kelly
Sing,C. Chew
Stasher,Unknown
FullOfPapers,Publishing
Lyle,Reed
Seven,Art
Shirley,Deangelo
Melissa,S. Wattenberg
Dr,Norman L Booker Jr
jack,robb
Silly,Bear
MonMignon,Nbook
Organizador,Zelio Cabral
Savana,Edición
Patrick,Kelley
Laverne,Jane Knight
D.,Dashdulam
Francesca,Trabella
Jeri-Lyn,McCrea
María,del Carmen Díaz-García
Grace,Firth
J,Boss Bobertson
Erika,L. Shores
C.,Carlsen
Thompson ,William E.
Mary,Roberts Rinehart
Susanna,Gregory
I.N.,Herstein
Roger,Protz
Cheryl,A. Fisher
Francine,Prose
Samuel,Jonathan
ʻAbd,al-Qādir al-Jīlānī
Zhouying,Jin
Stationery,Office (Great Britain)
Bobbie,Hinman
Gonzalo,Moure Trenor
Henry,Metcalf Hobart
R,Campbell
Carl,Hauptmann
Augustus,Henry Keane
Russo-Jewish,Committee
Abraham,Pais
Hanno,Fichtner
Aida,Salazar
Ingmar,Gregorzewski
Paul,Gluck
David,Treichel
Baer,Charlton
David,J. Bartholomew
M.,McIvor
S.,W. Graham
Ru-Shi,Liu
Baltasar,Gracián y Morales
Spring,Meeting Staff Materials Research Society
Jordi,Trilla Segura
Panayiotis,Varelas
Capucine,Deslouis
Yalçın,Armağan
Günther,Förg
W.,W. Denslow
Juliana,Berners
Albonight,Global press
Apri,J
Rachel,Simonson
John,Paul II Pope
Haven,Francis
Dannie,Elwins
E.,V. Sitnikova
Joaquín,Pascual Barea
M.ª,Dolores Llorca
Zachary,Chan
Carly,Murden
Julie,Mae Cohen
Bill,Strayer
Paul,Murray
Cecilia,Minden
Anif,Punto Utomo
中西啓之,Unknown
Susan,Hicks
Gheorghe,Postolache
Peter,Jackson
Geographers',A-Z Map Company
Sherwin,Cody
Peter,Willis (Firm)
P.,S. Belton
Lori,Andres
Sue,Bodman
Craig,Boddington
Irene ,Armenta DesGeorges
Robert,Pollock
Gaby,Franger
Erich,Bagge
William,I. Bacchus
I.,I. Shirokorad
Elḥanan,Nir
Theodore,H. Allegri
Robert,M. Torrance
Erwin,Hermann Josef Feeken
Ben,Stoddard
Alexandre,Piantini
Tracy,Gardner
Kenneth,M. Haines
James,Muma Mwape
Rita,Copeland
Richard,Glasgow
huggy,wuggy kissy missy
Sarah,Parrott
John,Stuart Mill
Vabnakhalu,publishing
BEN,T LAMPKIN
Valdécia,Marques
Salīmuddīn,Taslīm
Nicolas-Xavier,Ferrand
Jose,Angel Irigaray
Luis,Madero López
Jenny,Jinks; Abigail Hall
Sven-Eric,Olsson
Michael,Rovens
شعبان،,عمرو
Louis,Leventhal Jaffe
Bernard,Cabanes
Bourchier-Chilcott ,Thomas
Steve,Houghton
Smith,Alustair
Unk,Unknown
H.,M. Schoenfeld
Education,& Industry Dept. Scottish Office
Ebos,Unknown
William,Westall
Tia,Ashton
Wim,Willems
Charles,Douglas Stuart
Jiming,Wang
B.,W. Randolph
Canada.,Environnement Canada.
Luca,Neri
Sherie,Bargar
Aleksandr,Tatarskiĭ
Vincent,Ouattara
Marie,Greene
Kenneth,Elpus
Angela,Hollis
AndoTwin,Unknown
James,Sumner
William,B. Breuer
Suzanne,Marshall
Guiliang,Qi
Isabella,Alden
Ellsworth,D. ed Foster
Jane,Fox Crewdson
Antony,Penrose
Joachim,Scherer
Christopher,Binder
Lucille,ROWE
Hardy,Green
Karin,Masser
Samantha,Harvey - undifferentiated
Friedrich,Gottlieb Klopstock
Clifton,Collins
James,E. Curtis
老子,Unknown
Fran,Schmidt
Stephen,Cooper
Frances,Kean
Margaret,J. Catlow
Curtis ,Jr. McKallip
Marjaana,Gunkel
Milton,Mariano Azevedo
HUBER,Unknown
Melvin,Bornstein
Bonnie,Bartel
Rick,A. Johnson
Thomas,Gist
Hong-Yee,Chiu
Jill,Radford
Robert,Mertens
A.,S. King
Grant,Maxwell
W.J,Carman
Stina,Leicht
Linda,Warren
Erin,Beaty
Richard,Pring
Steven,Davis
Deborah,Greaves
Javier,Plaisance
Abigail,Dean
Shilun,Liao
Lisa,Marks
Elizabeth,& Katherine
Karen,Lloyd
Douglas,R. Thompson
Lorie,Dida Publishing
Trevor,Luckman
James,Maycock
Fanssy,Dodda
Mississippi,Southern College
Tawara,Machi
Milagros,Passeron
Megan,C. Norton-Newbanks
Tarcis,Prado Junior
Anne,E. Wright
Bruno,Heitz
Elizabeth,Encarnacion
Sally,M. Walker
Sam,Weintraub
Martina,Borger
David,G.  M.D. Folks
Jane,Rasco
Kim,Lackey
Zhiping,Xu
William,Gutteridge
Chung-sŏk,Sŏ
Waquar,Ahmed
Christoph,Wulf
Jane,Corry
Lauren,Porosoff
Daniel,Balderston
James,Riedel
William,McGill
Elaine,Fultz
Cheryl,Kim
Skye,Michaels
Josef,Falkinger
Stephen,G. Treasure
Mariska,Vos Bolman
Charles,Freligh
Ervine ,St. John G.
Glenn,Shepard
John,Parker
Ludwig,Bechstein
Caroline,Repchuk
Judy,Blume
Harold,Harris
Ladislav,Hejdánek
Scott,Foresman
Linda,Ferrell
Vasiliĭ,Pavlovich Aksenov
Leslie,Jane Federer Vaaler
David,E. Scherman
Lora,Leigh
Bergfinnur,Durhuus
Lynn,Havens
Audrey,Heagney
Sandy,Lender
W.,Taylor Fain
CP,Jones
Paul,M. Selzer
Trevor,Taylor
Vitaliĭ,Prokhorovich Zverev
Carter ,Robert
Ann,H. Matzke
Vibrant,Publishers
Jonathan,Glazzard
Cochrane ,James.
Aleksander,Kaminski
Ian,Packer
Per,Petterson
Daniel,Garcia
Umesh,Hebbar
Werner,Lorenz
K.,S. Mathew
Center,for Creative Leadership (CCL)
Terry,Irving
Shini,Somara
Asha,Somayajula
Dieudonné,Upira Sunguma Kagimbi
Elbrie,de Kock
Daniele,Ruggiu
Frog,Nomads Frog Nomads Press
Gregory,L. Little
Bibliographischer,Dienst Staat und Recht
Tuija,Kuparinen
Zh,Naranchimėg
Angelina,M. Piazza
Nanny,BluJae
Trish,Alcorn
Mitry ,Jean.
Sharon,Kendrick
Z.,N. Gippius
Julia,Child
Thomas,A. Langford
Richard,Kalmin
Tom,M. Apostol
Rachel,Lawson
Randall,W. Phillis
Robert,S. Summers
Plunkett,Unknown
Julian,M. Luxford
A.N.,Diddens
Dag,Heward-Mills
Lucy,Bowman
Frank,Schmalleger
Madeleine,Leveille
Rupert,Matthews
Ingmar,Bergman
Uljana,Wolf
Leo,Hamalian
Sandy,Barnard
Stefan,Borrmann
Roger,Priddy
Bob,Miller
Yuepeng,Liao
Wentworth ,Thomas
Klára,Széles
Timothy,Scott
Bruno,Romano
Gregory,I. Massing
Joseph,Publishing
Dar,Beni Mezghana
LeAnn,Sophia Smith
AngstyG,Unknown
Harrison,Florio
3934,Publishing 3934 Publishing House
John,Garand
Julie,Mianecki
Improving,The Improving The World
St,Press
Dennis,Wheatley
Marta,Lonzi
C.,Thomas Webb
Y.,Blak Moore
Karen,Harter
Rachael,Harkes
Jay,Ress
Grace,Livingston Hill
Dariush,Derakhshani
Elisenda,Roca
Jerry,Ayers
Nguyen,Quang
Max,H. Friedrich
Wilfried,Schneider
Jose,Gonzalez Ramirez
William,Steele
Zhifu,Li
S.,J. Freedberg
Ilmari,Tapiovaara
Adam,Briggle
T.,van Deel
Jobe,Leonard
John,Graves Simcoe
Julian,Napier
Chinua,Achebe
Chen,Tu
Ann,E. Sluder
Zofia,Stanecka
Legal,Yankee
Andrew,Erskine
Robert,Kimbrough (hydrologist)
Neal,Holland Duncan
Giustina,Monti
H.,D. Carlton
Lipipuspa,Nayak
Great,Britain: Parliament: House of Commons: Public Bill Committee
Domitille,Bethune
Penny,Penson
Leonelo,Forti Sampietro
E.,Mary Stevens
Ernest,Hemingway
Upte,Siuts
M.,Neddur
Phyllis,Gross
John,Trimbur
Craig,Smith
Maurice,C. Sheppard
Patrick,J.  Santry
William,Caxton
Rachel,K. Gibson
Ida,B. Wells-Barnett
Plates ,The Photographic Film
Belle,Mickelson
Aaron,Masters
Cheryl,Davis
Wolfgang,Hau
B.,F. Schriever
David,Benedictus
Percy,Trevelyan
Nichols ,John
Thomas,O'Brien Hubbard
Elʹdar,Nizami Nadzhafov
David,Gibbon
Melanie,Dickerson
Titus,Mbuya
Daniel,Martin Feige
Simone,Guercini
Lakota,Grace
Kalender,2020 Planer
Byron,Birdsall
Max,Brand
Stefan,Steven Books
Selen,Can
Abhinav,Gupta
Leo,Vollgeherzt
Tom,Rudovsky
Cory,Baker
Merete,Junker
George,Lawyer
Brian,Michael Bendis
Tish,Davis
christopher,benedict
Bob,Ross
Shirley,Barker
Laura,Ingalls Wilder
Martin,P. Wattenberg
Frederick,Winthrop Hutchinson
Historical,MSSCommission
John,Kaplan
John,Trigilio
Brendan,Dooley
Angela,Llanas
Roderick,Gordon
O`Connell,Unknown
Planchais,Unknown
Ruth,Forbes
Giampiero,Lovat
Edward,Carl Biewald
Anne,Worrall
Shuhui,Lin
Sean,Creaven
Gunther,Schmidt
Burt,L. Standish
Francis,A Andrew
Monica,Landia
R.,Schank
Miklos, de Zamaroczy
Alison,L. Bryant
Ilana,Exelby
Jesus,R. Alvarez-Perez
Juan,Antonio Fernández Peris
Marco,Pastonesi
Wŏn ,Chun-ho (Preservationist)
Boudewijn,Büch
Anonymous,Unknown
Montserrat,Roca Comet
Jean-François,Vigneau
Joe,Bull
ZoZo,geboren nov Veröffentlichung
Rupesh,S. Chavan
Franco,Deana
Sheridan,Fanu
Stella,Rovio
Global,Doggy
Comikia,Price
Kenneth,W. Clarkson
Carles,Sudrià Triay
Jennie,J. Wight (Jennie Joseph Howes
Andy,Griffiths
